id,name,brand,category,category_id,price,base_price,discount_percent,sku,available,currency,url,image,timestamp,source
93590,OTLICNAYA KUXNYA 500GR SEKER TOZU TROSTNIKOVIY,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,6.05,6.05,0.0,sirniyyat-cay-kofe-diabet,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet,https://neptun.az/image/cache/webp/catalog/A.Narmin/third/OTLICNAYAKUXNYA500GRSEKERTOZUTROSTNIKOVIY.-270x270.webp?v=9,2026-02-06 10:08:01,neptun
86464,OZERSKIY SUVENIR 90GR OZERA APELSIN PL/SOKOLAD,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,2.59,2.59,0.0,ozerskiy-suvenir-90gr-ozera-apelsin-pl-sokolad-115288,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozerskiy-suvenir-90gr-ozera-apelsin-pl-sokolad-115288,https://neptun.az/image/cache/webp/catalog/A.Narmin/third/OZERSKIYSUVENIR90GROZERAAPELSIN.-270x270.webp?v=9,2026-02-06 10:08:01,neptun
93853,OZIBOX 4GR CUTE MONSTER YUMURTA,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,2.5,2.5,0.0,sirniyyat-cay-kofe-diabet,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet,https://neptun.az/image/cache/webp/logo-270x270.webp?v=9,2026-02-06 10:08:01,neptun
4042,OZMO 20GR EQQ GERCEK SOKOLAD,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,2.0,2.0,0.0,ozmo-20gr-eqq-gercek-sokolad-081001,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozmo-20gr-eqq-gercek-sokolad-081001,https://neptun.az/image/cache/webp/catalog/OZMO20GREQQGERCEKSOKOLAD-270x270.webp?v=9,2026-02-06 10:08:01,neptun
91632,OZMO 23GR FUN SOKOLAD,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,1.4,1.4,0.0,sirniyyat-cay-kofe-diabet,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet,https://neptun.az/image/cache/webp/catalog/A.Narmin/third/OZMO23GRFUNSOKOLAD-270x270.webp?v=9,2026-02-06 10:08:01,neptun
4043,OZMO 23GR FUN SOLEN SOKOLAD,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,1.4,1.4,0.0,ozmo-23gr-fun-solen-sokolad-050513,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozmo-23gr-fun-solen-sokolad-050513,https://neptun.az/image/cache/webp/catalog/OZMO23GRFUNSOLENSOKOLAD-270x270.webp?v=9,2026-02-06 10:08:01,neptun
91187,OZMO 30GR OGOPOGO BISKUVIT,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,0.6,0.6,0.0,sirniyyat-cay-kofe-diabet,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet,https://neptun.az/image/cache/webp/catalog/A.Narmin/third/OZMO30GROGOPOGOBISKUVIT.-270x270.webp?v=9,2026-02-06 10:08:01,neptun
4045,OZMO 30GR OGOPOGO BISKUVIT,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,0.6,0.6,0.0,ozmo-30gr-ogopogo-biskuvit-050509,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozmo-30gr-ogopogo-biskuvit-050509,https://neptun.az/image/cache/webp/catalog/OZMO30GROGOPOGOBISKUVIT-270x270.webp?v=9,2026-02-06 10:08:01,neptun
4046,OZMO 36GR HOKI POKI BISKVIT,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,1.5,1.5,0.0,ozmo-36gr-hoki-poki-biskvit-106233,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozmo-36gr-hoki-poki-biskvit-106233,https://neptun.az/image/cache/webp/catalog/OZMO36GRHOKIPOKIBISKVIT-270x270.webp?v=9,2026-02-06 10:08:01,neptun
4047,OZMO 37.5GR HAPPY PECENYE,Unknown,"Şirniyyat, çay, kofe, diabetik",sirniyyat-cay-kofe-diabet,0.7,0.7,0.0,ozmo-37-5gr-happy-pecenye-050519,True,AZN,https://neptun.az/sirniyyat-cay-kofe-diabet/ozmo-37-5gr-happy-pecenye-050519,https://neptun.az/image/cache/webp/catalog/OZMO39GRHAPPYPECENYE-270x270.webp?v=9,2026-02-06 10:08:01,neptun
